tick,arrivals,cpu_demand_norm,duration_p50,duration_p90,priority_high_frac,latency_sensitive_frac
1,8,0.42,4,9,0.08,0.22
2,2,0.38,4,8,0.06,0.20
3,1,0.35,3,7,0.05,0.18
4,1,0.36,3,7,0.05,0.18
5,4,0.48,5,10,0.08,0.24
6,2,0.46,5,11,0.09,0.24
7,1,0.41,4,9,0.07,0.21
8,1,0.39,4,8,0.06,0.20
9,1,0.37,4,8,0.06,0.20
10,5,0.53,6,12,0.10,0.26
11,2,0.50,6,12,0.10,0.25
12,1,0.44,5,10,0.08,0.23
13,1,0.42,5,10,0.08,0.22
14,1,0.43,5,10,0.08,0.22
15,5,0.58,7,14,0.12,0.28
16,3,0.55,7,13,0.12,0.28
17,2,0.51,6,12,0.10,0.26
18,1,0.49,6,12,0.10,0.25
19,1,0.47,5,11,0.09,0.24
20,6,0.63,8,15,0.14,0.30
21,3,0.60,8,15,0.14,0.30
22,2,0.57,7,14,0.12,0.29
23,1,0.52,6,13,0.11,0.27
24,1,0.50,6,12,0.10,0.26
25,6,0.68,8,16,0.15,0.32
26,3,0.65,8,16,0.15,0.32
27,2,0.61,7,15,0.13,0.30
28,1,0.56,7,14,0.12,0.28
29,1,0.54,6,13,0.11,0.27
30,5,0.62,8,15,0.14,0.30
31,2,0.59,7,14,0.13,0.29
32,1,0.55,7,13,0.12,0.28
33,1,0.51,6,12,0.10,0.26
34,1,0.49,6,12,0.10,0.25
35,4,0.57,7,14,0.12,0.28
36,2,0.53,6,13,0.11,0.27
37,1,0.48,6,12,0.10,0.25
38,1,0.45,5,11,0.09,0.24
39,1,0.43,5,10,0.08,0.23
40,4,0.55,7,14,0.12,0.28
41,2,0.52,6,13,0.11,0.27
42,1,0.47,6,12,0.10,0.25
43,1,0.44,5,11,0.09,0.24
44,1,0.42,5,10,0.08,0.23
45,3,0.50,6,12,0.10,0.26
46,2,0.48,6,12,0.10,0.25
47,1,0.43,5,10,0.08,0.23
48,1,0.40,4,9,0.07,0.21
49,1,0.38,4,8,0.06,0.20
50,2,0.45,5,10,0.08,0.23
